x,result
-8.0,NaN
-7.75,NaN
-7.5,NaN
-7.25,NaN
-7.0,NaN
-6.75,NaN
-6.5,NaN
-6.25,NaN
-6.0,NaN
-5.75,NaN
-5.5,NaN
-5.25,NaN
-5.0,NaN
-4.75,NaN
-4.5,NaN
-4.25,NaN
-4.0,NaN
-3.75,NaN
-3.5,NaN
-3.25,NaN
-3.0,NaN
-2.75,NaN
-2.5,NaN
-2.25,NaN
-2.0,NaN
-1.75,NaN
-1.5,NaN
-1.25,NaN
-1.0,NaN
-0.75,NaN
-0.5,NaN
-0.25,NaN
0.0,NaN
0.25,-0.6020599913281455
0.5,-0.30102999566380834
0.75,-0.12493873660840127
1.0,0.0
1.25,0.09691001300811806
1.5,0.17609125905577214
1.75,0.24303804868645293
2.0,0.30102999566380834
2.25,0.35218251811144996
2.5,0.39794000867226725
2.75,0.439332693830267
3.0,0.47712125471987255
3.25,0.5118833609788271
3.5,0.5440680443504685
3.75,0.5740312677276491
4.0,0.6020599913281455
4.25,0.6283889300502392
4.5,0.6532125137755238
4.75,0.6766936096248038
5.0,0.6989700043362019
5.25,0.720159303405911
5.5,0.7403626894944333
5.75,0.7596678446896059
6.0,0.7781512503838435
6.25,0.7958800173440733
6.5,0.8129133566430664
6.75,0.8293037728310474
7.0,0.8450980400144813
7.25,0.8603380065710405
7.5,0.8750612633915208
7.75,0.8893017025063814
8.0,0.9030899869918056
