x,result
-8.0,-1.0107562184000989
-7.75,-1.0054305525024378
-7.5,-1.0660981074204758
-7.25,-1.2149474316557696
-7.0,-1.52210106256373
-6.75,-2.222004595237639
-6.5,-4.648568498394405
-6.25,30.139349389599836
-6.0,3.5788995472544087
-5.75,1.967423103307768
-5.5,1.4173534293614665
-5.25,1.1642331372799435
-5.0,1.0428352127714047
-4.75,1.0007077115260157
-4.5,1.022986383671306
-4.25,1.117331721104773
-4.0,1.3213487088108902
-3.75,1.7495935557717364
-3.5,2.8507634375405306
-3.25,9.242559791094033
-3.0,-7.086167395737155
-2.75,-2.620126292243407
-2.5,-1.6709215455586817
-2.25,-1.2852261252536634
-2.0,-1.099750170294616
-1.75,-1.0162746766627526
-1.5,-1.0025113042467249
-1.25,-1.0537578582454323
-1.0,-1.1883951057781252
-0.75,-1.4670527244750102
-0.5,-2.085829642933488
-0.25,-4.041972501221071
0.0,NaN
0.25,4.041972501221071
0.5,2.085829642933488
0.75,1.4670527244750102
1.0,1.1883951057781252
1.25,1.0537578582454323
1.5,1.0025113042467249
1.75,1.0162746766627526
2.0,1.099750170294616
2.25,1.2852261252536634
2.5,1.6709215455586817
2.75,2.620126292243407
3.0,7.086167395737155
3.25,-9.242559791094033
3.5,-2.8507634375405306
3.75,-1.7495935557717364
4.0,-1.3213487088108902
4.25,-1.117331721104773
4.5,-1.022986383671306
4.75,-1.0007077115260157
5.0,-1.0428352127714047
5.25,-1.1642331372799435
5.5,-1.4173534293614665
5.75,-1.967423103307768
6.0,-3.5788995472544087
6.25,-30.139349389599836
6.5,4.648568498394405
6.75,2.222004595237639
7.0,1.52210106256373
7.25,1.2149474316557696
7.5,1.0660981074204758
7.75,1.0054305525024378
8.0,1.0107562184000989
