x,result
-8.0,NaN
-7.75,NaN
-7.5,NaN
-7.25,NaN
-7.0,NaN
-6.75,NaN
-6.5,NaN
-6.25,NaN
-6.0,NaN
-5.75,NaN
-5.5,NaN
-5.25,NaN
-5.0,NaN
-4.75,NaN
-4.5,NaN
-4.25,NaN
-4.0,NaN
-3.75,NaN
-3.5,NaN
-3.25,NaN
-3.0,NaN
-2.75,NaN
-2.5,NaN
-2.25,NaN
-2.0,NaN
-1.75,NaN
-1.5,NaN
-1.25,NaN
-1.0,NaN
-0.75,NaN
-0.5,NaN
-0.25,NaN
0.0,NaN
0.25,-0.8613531161468224
0.5,-0.43067655807303296
0.75,-0.17874692166089895
1.0,0.0
1.25,0.1386468838532658
1.5,0.2519296364126563
1.75,0.34770883897551713
2.0,0.43067655807303296
2.25,0.5038592728251776
2.5,0.5693234419267864
2.75,0.6285429862580336
3.0,0.6826061944861072
3.25,0.7323395250200367
3.5,0.7783853970488466
3.75,0.8212530783388843
4.0,0.8613531161468224
4.25,0.899021311575463
4.5,0.9345358308985904
4.75,0.9681296842880212
5.0,1.0
5.25,1.0303150334610311
5.5,1.0592195443315786
5.75,1.0868389773192737
6.0,1.1132827525593727
6.25,1.138646883852913
6.5,1.1630160830936862
6.75,1.1864654673108912
7.0,1.2090619551221722
7.25,1.230865418020458
7.5,1.2519296364120078
7.75,1.272303098830305
8.0,1.2920296742196433
