x,result
-8.0,4276.041457416192
-7.75,16863.180198070495
-7.5,107.69233192674216
-7.25,9.195056947746801
-7.0,1.4139340737947792
-6.75,0.2686908483139018
-6.5,0.042792760951958296
-6.25,0.001141068712516545
-6.0,0.12268975819407137
-5.75,0.7680771304843927
-5.5,3.6554161672725636
-5.25,21.060678478308557
-5.0,283.5793155240417
-4.75,998997.5932040073
-4.5,967.443511006989
-4.25,40.033547411381605
-4.0,5.949231057618411
-3.75,1.2333002320178141
-3.5,0.22891060328461577
-3.25,0.013407000430873213
-3.0,0.01827779208528647
-2.75,0.1635688451221245
-2.5,0.8468919785069746
-2.25,5.04800902725334
-2.0,46.02282581228233
-1.75,1857.8898402940792
-1.5,79083.17853839493
-1.25,164.5390334003343
-1.0,12.15079821024691
-0.75,1.7827002870777602
-0.5,0.33350409912710705
-0.25,0.05757083184817581
0.0,NaN
0.25,0.004905972210768699
0.5,0.07849555537257488
0.75,2.645426598658757
1.0,NaN
1.25,7.308185266991854
1.5,0.6703983877572494
1.75,0.1847511189135848
2.0,0.07849555537257488
2.25,0.04189989923487296
2.5,0.02570477079087528
2.75,0.017302547988804977
3.0,0.01243853121653925
3.25,0.009388584180398523
3.5,0.007356500720478672
3.75,0.005936657018319771
4.0,0.004905972210768699
4.25,0.0041339960087206605
4.5,0.003540512823655998
4.75,0.0030740848810775277
5.0,0.002700536184345948
5.25,0.002396458175805168
5.5,0.002145389043229777
5.75,0.0019354821937784567
6.0,0.0017580372682443578
6.25,0.0016065481744334277
6.5,0.0014760705607772475
6.75,0.0013627920495541607
7.0,0.0012637343140938025
7.25,0.0011765427729520375
7.5,0.0010993356683431615
7.75,0.001030594121548053
8.0,9.690809305239819E-4
