GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
part2,itmo.lab1,Node,0,6,0,0,0,3,0,1,0,1
part2,itmo.lab1,Tracer,0,17,0,0,0,6,0,3,0,3
part2,itmo.lab1,SkewHeap,0,136,1,23,0,36,1,18,0,7
